"Iteration","Timestep","StratumIDSource","StateClassIDSource","StratumIDDest","StateClassIDDest","SecondaryStratumID","TertiaryStratumID","TransitionTypeID","Probability","Proportion","AgeMin","AgeMax","AgeRelative","AgeReset","TSTMin","TSTMax","TSTRelative"
"","","Dry","Shrubland:All","","Agriculture:All","Hawai'i","","AGRICULTURAL EXPANSION: Shrubland->Ag",1,,,,,,,,
"","","Dry","Shrubland:All","","Agriculture:All","Kaua'i","","AGRICULTURAL EXPANSION: Shrubland->Ag",1,,,,,,,,
"","","Dry","Shrubland:All","","Agriculture:All","Lana'i","","AGRICULTURAL EXPANSION: Shrubland->Ag",1,,,,,,,,
"","","Dry","Shrubland:All","","Agriculture:All","Maui","","AGRICULTURAL EXPANSION: Shrubland->Ag",1,,,,,,,,
"","","Dry","Shrubland:All","","Agriculture:All","Moloka'i","","AGRICULTURAL EXPANSION: Shrubland->Ag",1,,,,,,,,
"","","Dry","Shrubland:All","","Agriculture:All","O'ahu","","AGRICULTURAL EXPANSION: Shrubland->Ag",1,,,,,,,,
"","","Mesic","Shrubland:All","","Agriculture:All","Hawai'i","","AGRICULTURAL EXPANSION: Shrubland->Ag",1,,,,,,,,
"","","Mesic","Shrubland:All","","Agriculture:All","Kaua'i","","AGRICULTURAL EXPANSION: Shrubland->Ag",1,,,,,,,,
"","","Mesic","Shrubland:All","","Agriculture:All","Lana'i","","AGRICULTURAL EXPANSION: Shrubland->Ag",1,,,,,,,,
"","","Mesic","Shrubland:All","","Agriculture:All","Maui","","AGRICULTURAL EXPANSION: Shrubland->Ag",1,,,,,,,,
"","","Mesic","Shrubland:All","","Agriculture:All","Moloka'i","","AGRICULTURAL EXPANSION: Shrubland->Ag",1,,,,,,,,
"","","Mesic","Shrubland:All","","Agriculture:All","O'ahu","","AGRICULTURAL EXPANSION: Shrubland->Ag",1,,,,,,,,
"","","Wet","Shrubland:All","","Agriculture:All","Hawai'i","","AGRICULTURAL EXPANSION: Shrubland->Ag",1,,,,,,,,
"","","Wet","Shrubland:All","","Agriculture:All","Kaua'i","","AGRICULTURAL EXPANSION: Shrubland->Ag",1,,,,,,,,
"","","Wet","Shrubland:All","","Agriculture:All","Lana'i","","AGRICULTURAL EXPANSION: Shrubland->Ag",1,,,,,,,,
"","","Wet","Shrubland:All","","Agriculture:All","Maui","","AGRICULTURAL EXPANSION: Shrubland->Ag",1,,,,,,,,
"","","Wet","Shrubland:All","","Agriculture:All","Moloka'i","","AGRICULTURAL EXPANSION: Shrubland->Ag",1,,,,,,,,
"","","Wet","Shrubland:All","","Agriculture:All","O'ahu","","AGRICULTURAL EXPANSION: Shrubland->Ag",1,,,,,,,,
"","","Dry","Forest:All","","Grassland:All","","","FIRE: Forest High Severity",1,0.0087,,,"","",,,
"","","Mesic","Forest:All","","Grassland:All","","","FIRE: Forest High Severity",1,0.1207,,,"","",,,
"","","Wet","Forest:All","","Grassland:All","","","FIRE: Forest High Severity",1,0.0052,,,"","",,,
"","","Dry","Forest:All","","Forest:All","","","FIRE: Forest Low Severity",1,0.9086,,,"","No",,,
"","","Mesic","Forest:All","","Forest:All","","","FIRE: Forest Low Severity",1,0.5469,,,"","No",,,
"","","Wet","Forest:All","","Forest:All","","","FIRE: Forest Low Severity",1,0.6496,,,"","No",,,
"","","Dry","Forest:All","","Grassland:All","","","FIRE: Forest Medium Severity",1,0.0826,,,"","No",,,
"","","Mesic","Forest:All","","Grassland:All","","","FIRE: Forest Medium Severity",1,0.3324,,,"","No",,,
"","","Wet","Forest:All","","Grassland:All","","","FIRE: Forest Medium Severity",1,0.3452,,,"","No",,,
"","","Dry","Grassland:All","","Grassland:All","","","FIRE: Grassland High Severity",1,0.015,,,"","",,,
"","","Mesic","Grassland:All","","Grassland:All","","","FIRE: Grassland High Severity",1,0.0109,,,"","",,,
"","","Wet","Grassland:All","","Grassland:All","","","FIRE: Grassland High Severity",1,0.0056,,,"","",,,
"","","Dry","Grassland:All","","Grassland:All","","","FIRE: Grassland Low Severity",1,0.8801,,,"","",,,
"","","Mesic","Grassland:All","","Grassland:All","","","FIRE: Grassland Low Severity",1,0.8271,,,"","",,,
"","","Wet","Grassland:All","","Grassland:All","","","FIRE: Grassland Low Severity",1,0.7178,,,"","",,,
"","","Dry","Grassland:All","","Grassland:All","","","FIRE: Grassland Medium Severity",1,0.1074,,,"","",,,
